commune	nb_atm
Marrakech-Médina	20
Hassan	17
Agadir	16
Sidi Belyout	16
Agdal Riyad	13
Tabriquet	11
Anfa	11
Essaouira	11
Sebta	10
Hay-Hassani	9
Fès-Médina	8
Gueliz	8
Tanger-Médina	7
Meknès	6
El Maarif	5
El Jadida	5
Tinghir	5
Tétouan	5
Boulemane	4
Chefchaouen	4
Oulad Teima	4
Ifrane	4
Assilah	4
Méchouar-Kasba	4
Aourir	4
Ksar El Majaz	3
Oujda	3
Ménara	3
Bab Lamrissa	3
Azemmour	3
Aîn-Chock	3
Tafraout	3
El Kelaâ des Sraghna	2
Boumalne Dades	2
Alnif	2
Demnate	2
Dar Bouazza	2
Assoukhour Assawda	2
Azilal	2
Larache	2
Sidi Slimane	2
Zagora	2
Taza	2
Tata	2
Yacoub El Mansour	2
Sidi Bernoussi	2
Méchouar-Fès Jdid	2
Aarab Sebbah Ziz	2
Kénitra	2
Midelt	2
Mirleft	2
Moulay Driss Zerhoun	2
M'Hamid El Ghizlane	2
Goulmima	1
Dcheira El Jihadia	1
El Mansouria	1
El Borouj	1
Fnideq	1
Errachidia	1
Et-taous	1
Er-rich	1
Ech-challalate	1
Charf-Mghogha	1
Asni	1
Ait Youssef Ou Ali	1
Ait Baha	1
Ait Amira	1
Ait Zineb	1
Al-Fida	1
Al Machoua-Stinia	1
Ain Leuh	1
Agdal	1
Arfoud	1
Bettana	1
Azrou	1
Assa	1
Berkane	1
Bouznika	1
Loualidia	1
Guelmim	1
Nador	1
Moulay Bousselham	1
Moulay Ali Cherif	1
Martil	1
Mehdya	1
Melilia	1
Mers-Sultan	1
Mikkes	1
Ighrem N'Ougdal	1
Ifrane Atlas Saghir	1
Gueznaia	1
Hay Mohammadi	1
Jnan El Ouard	1
Kalaat M'Gouna	1
Lamaachate	1
Nouaceur	1
Sidi Moumen	1
Sidi Ifni	1
Sidi El Makhfi	1
Sidi Bennour	1
Safi	1
Saidia	1
Saiss	1
Sebt Gzoula	1
Ounagha	1
Taroudannt	1
Tahannaout	1
Skhirate	1
Skoura Ahl El Oust	1
Tanant	1
Tazarine	1
Témara	1
